sentence,sense_labels,dim1,dim2
"Preschool children – who tend to be egocentric – may blame themselves for marital conflict, resulting in feelings of guilt and lowered self-esteem.
",2,0.34070495,-3.206894
"However, MI5 proved unable to deploy them without confusion and Kell and his deputy, both in their mid-60s, got the blame.
",1,-2.536455,2.325252
"In 2012, the play was further adapted by Rasheed Otun and titled ""The"" ""Gods Are STILL Not to Blame"".
",0,9.1936655,1.1899407
"Because the estimated cost of the consent decree was approximately three times more than the original estimate, many blame the increased rates on corruption of several Jefferson County officials.
",2,0.7640755,-4.2310367
"Cleared of all blame, Sidney becomes a cop, determined to set a good example for youths like himself, while Mike and Martha fall in love.
",1,-1.0441315,1.7951756
"He also spoke at the 2014 NFL rookie symposium, where he encouraged players to get a fall guy they can trust to take the blame if they get in trouble.
",1,-1.7804798,2.5166783
"Investigators determined that an electronically controlled valve, common to late-model Boeing aircraft, was to blame.
",2,-0.43653104,-1.0801991
"People in town blame his death on Tara's rejection.
",2,1.1750141,-3.2851508
"Phiri accepted the blame though he did not like the reaction from the fans and administrators considering that the match was not played under normal sporting conditions, which he described as his ‘worst experience in football.’
",1,-1.2776732,1.9125345
"It concluded that blame for the war lay in the first instance with the governments of Germany and Austria-Hungary, and secondly with those of Bulgaria and Turkey.
",1,-1.6103438,1.355503
"Portuguese chroniclers blame the Zamorin for breaking the peace - that either he changed his mind (ultimately realized he didn't want to lose the Italian engineers) or was intending to break the peace all along, and just agreed to it in order to save Calicut from being bombarded once again by the Portuguese.
",2,1.3977535,-3.1996713
"It can only be definitively stated that the council disclaimed any responsibility for the riots: a declaration of the council laid the blame on an out-of-town mob followed by only a few no-accounts from Cologne.
",1,-2.627074,1.900529
"Romuald found the archbishop to blame for the conflict, and the pope deposed him from his see at the Council of Ceprano in October that year.
",2,-0.84934,-1.8442674
"People in South Park are struggling with the recent economic downturn, and many people on the street are castigating those whom they would blame.
",2,-1.064945,-2.7367663
"Martin later placed the blame on the pre-fight distractions, claiming that he was 'mentally not there'.
",1,-2.4608674,2.4725137
"In his 1995 survey of the events of the crisis, ""November 1975"", Kelly places blame on Fraser for initiating the crisis and on Whitlam for using the crisis to try to break Fraser and the Senate.
",1,-1.3109835,0.983848
"Some were content to blame the excessive number of teething troubles in the early models, the car's lack of power and, especially during the second half of the decade, the superior attractions of the Citroën offerings: but some commentators also draw attention to a very French political dimension.
",2,0.3523888,-3.7665079
"Rodney King has a heart attack and I take blame for that?
",1,-2.4508903,0.77565527
"The second single ""Direct Hit"" was released a week before the album, featuring the B-sides ""Don't Blame it on the Trains"" and ""I Want to be Double A-Sided"".
",0,11.169909,2.0207567
"On the same day, Aung San Suu Kyi released a statement alleging that Burmese authorities were to blame for Yettaw's security breach.
",2,-0.84554887,-2.6885428
"Some of his supporters continued to blame Adair, due to the love triangle which emerged between him and McKeag when Tracey Coulter started sleeping with Adair too.
",2,0.43559635,-2.5731246
"This puzzles Cordelia and Leona, and when they see Cordelia's obituary in the newspaper—under the headline ""Aged Woman Victim of Poisoned Alcohol""—they are furious, and quickly fix the blame on Ambrose.
",1,-2.3245835,2.9495552
"During the Boer War Esher had to intervene in the row between Lansdowne and General Wolseley, the Commander-in-Chief, who tended to blame the politician for military failures.
",2,0.9653111,-3.9866729
"The court martial held:""... having heard the narrative thereof by Captain Edmund Heywood, together with explanations given by himself and also by Mr. Allan McLean, the master of the said ship, and having fully completed the inquiry, and maturely and deliberately weighed and considered the whole thereof, the court is of opinion that the loss was occasioned by an extraordinary weather current having set the ship nearly two degrees to the eastwards of the reckoning of all the officers on board ... and that no blame is attributable to Captain Heywood, his officers, and ship's company.""
",1,-0.8825723,0.2825442
"At first he blames himself but then he goes on to blame Joey and that puts all romantic possibilities for them out of the picture.
",2,-0.08379183,-1.6984807
"Popular opinion accused the nobles of betraying the king, while Charles and his brothers escaped blame – he was received with honor upon his return to Paris.
",1,-0.7152317,1.6753516
"Kamber accepted responsibility, saying, ""We're paid to take the blame, so we're at fault.""
",1,-1.9939787,2.1049674
"The song describes life behind a wall, hearing a man who ""swears he's not to blame"" and is ""crying out that he was framed"".
",2,-0.89540625,-0.7624955
"For Trimingham, the brand of Islam introduced to the region was equally to blame.
",2,-0.8160538,-1.6436352
"The two hosts also apologized, although they partially deflected the blame back at their producers for allowing the segment to begin with.
",1,-1.1478326,2.3480158
"This book placed the blame for the Great Depression at the door of the Federal Reserve System.
",1,-1.725919,1.9972658
"He even extended the blame to Krupanidhi asserting that he had no role in it as it was written by Krupanidhi without his knowledge.
",1,-1.3733711,2.6551743
"Anderson was partly to blame for the weakness of II Corps in southern area of the front.
",2,-0.5743658,-2.5452154
"Brown blamed other doctors at the hospital of framing Jascalevich to cover up their own ineptitude and charged that reporter M. A. Farber of ""The New York Times"" had conspired with prosecutors to advance their respective careers by pointing the finger of blame at Jascalevich.
",1,-1.1008295,1.9285696
"Many within the US Government and elsewhere would blame the media for the American failure in Vietnam, claiming that media focus on atrocities, the horrors of combat and the impact on soldiers damaged morale and eliminated support for the war at home.
",2,0.7884366,-4.264446
"Two days later, on November 3, 2020, Capps met with co-conspirators Michael O'Donnell (by then Sedgwick County Commissioner) and Wichita City Councilperson James Clendenin, to find a way to attribute the blame for the ad on the county party chair, Glasscock.
",1,-2.6128354,2.2225046
"The judge and jury decided that Garside had pulled the trigger, despite it being his information which had originally led to the arrests; it was ruled that he had been hoping to blame his accomplices.
",2,-0.47709325,-1.4956142
"They know how show business works, they know their American history […] and they’re certain they know who’s to blame for all of the West Wing’s issues: West Wing creator Aaron Sorkin.""
",2,-1.0039307,-3.2177644
"Sinha — that we had both a political folly compounded by a military botch-up.” He would blame Sundarji more for the operation than Vaidya, who he says ""“was taken in by Sundarji’s swagger,” and that both “were being politically subservient to the Prime Minister... maybe they wanted governorships or ambassadorships after serving their time.""
",2,-0.21407475,-3.3209558
"Blame was allocated equally between the U.S. Federal Aviation Administration (FAA) and the pilot of the Piper.
",-1,1.8003484,6.4045143
"Some industry commentators lay the blame for this negative opinion on the giant, publicly listed multinational corporations, such as Constellation Wines and Foster's, which have dominated the industry for years and concentrated on the cheap commodity end of the market rather than building the reputation of Australia's finer, regionally distinctive wines.
",-1,-2.6133084,0.107085496
"The first episode featured a memorable boasting contest and a keelboat race, with Fink's boat named ""The Gullywumper""; in the second, Crockett and Fink join forces to fight a band of river pirates who blame their depredations on local Indians.
",2,0.30898994,-3.446334
"The inquiry also resisted the temptation to ""lay all of the blame at the door of a deceased wayward architectural genius [Miralles...costs rose because the client wanted increases and changes or at least approved of them in one manifestation or other.""
",1,-1.4365782,2.7775812
"The gulf became so wide between the formal written and colloquial spoken languages that it was blamed for hindering education and literacy, and some even went so far as to blame it in part for the political turmoil that occurred in China during the 19th and early 20th centuries.
",-1,1.0336204,-5.3752017
"All these events, and in particular the final military defeat, led to a deep feeling of dislike among the general population against the Soviet Union (which did not offer military assistance) and the Hungarian Jews (since most members of Kun's government were Jewish, making it easy to blame the Jews for the government's crimes).
",2,0.17816184,-3.3473525
"That these three men came to their deaths as the result of burns received in an explosion of powder on the forward part of the deck of the Steamer Columbian, and further this jury attaches no blame to any of the surviving officers or crew.
",1,-1.5684124,0.77835363
"On their engagement, Chaman texts Apsara that he is not happy with this union and she takes the blame on herself calling off the ceremony.
",1,-2.310659,2.5390582
"During the Obama administration, Hannity ""leaned more heavily on stories he believed were being given short shrift by the 'liberal media'stories about where Obama was born, and who deserved blame for the attack on the U.S. compound in Benghazi, Libya"".
",1,-1.9781451,1.2394828
"The initial blame was placed on Al-Qaeda, but Muslims at large were targeted for reprisals: four mosques in England were assaulted and Muslims were verbally insulted in streets and their cars and houses were vandalised.
",1,-1.5764782,1.7500061
"He attempts to divert the blame to his employees, saying that blackmail is a bigger crime than firing a gun accidentally, but Jo takes the position away from him, telling him that the gun incident is far worse.
",1,-1.2916089,2.6102164
"Elias Atallah, head of the DLM, explained that the wreath would ""place the blame at the head of the joint Lebanese-Syrian security regime"".
",1,-1.7276613,2.2313735
"Temposhark's music video to ""Blame"" was then shortlisted for the Portugal International Music Video Festival ""ViMUS 2008"" and was screened in Póvoa de Varzim, Portugal between 4–7 September 2008.
",0,8.5834,1.9988093
"Adam soon finds himself prime suspect and is desperate to shift the blame to anybody else.
",1,-1.4094759,2.7421715
"Feinberg believed that the editors wanted to shift blame for the leaking of the DNC documents from Russian hackers to Rich.
",1,-1.7060686,1.4851357
"In doing so the author does not blame God but rather presents him as righteous, just and sometimes even as merciful.
",2,-0.014398171,-3.1679063
"Reportedly no blame for the accident could rest upon the officers of the boat.
",1,-1.9480633,1.0521902
"LAPD Chief of Police Daryl Gates, who had already announced his resignation by the time of the riots, was attributed with much of the blame for failure to de-escalate the situation and overall mismanagement.
",1,-2.2121654,1.3674804
"Wise's son, Captain Jennings Wise, fell at Roanoke Island, and Henry's grandson John Wise, interviewed in 1936, told Meade that ""the fat Jew sitting at his desk"" was to blame.
",2,-1.045477,-1.6373292
"In Kenya, farmers blame poor agricultural productivity on corruption, and thus are less likely to undertake soil conservation measures to prevent soil erosion and loss of nutrients.
",2,0.97687465,-3.41095
"Blackadder, chief executive of a fictional British bank, appearing with Baldrick as his gardener, convinces the panel to publicly blame the entire crisis on Baldrick, to the latter's consternation.
",2,0.12631074,-2.8799443
"The blame would then have fallen where it ought to have fallen...The more it is investigated, the more it will show itself to be, the most blundering piece of business recorded in these six volumes.
",1,-1.2140168,2.9343536
"It appears that they are lost and the two continue to blame each other until the Elephant's Child runs off, having called the Kolokolo Bird a freak for being scared of flying.
",2,0.20780969,-0.7745151
"On 2 August 2007 the IPCC announced its findings that the allegations against Blair couldn't be substantiated, instead placing the blame for misleading the public on Assistant Commissioner Andy Hayman, who had failed to report his suspicions that an innocent man had been killed, and had released contradictory statements to the press.
",1,-2.8265083,1.6601465
"The preceding track on the album, ""Lost Keys (Blame Hofmann)"" serves as a conceptually synchronized prologue for the song.
",0,8.011423,2.3202116
"With regard to the matter, Joan famously said, ""It is not considered ignominious, nor disgraceful, for a great earl to take a poor and mean woman to wife; neither, on the other hand, is it worthy of blame, or too difficult a thing for a countess to promote to honour a gallant youth.""
",1,-1.3788744,0.9467984
"He has been known to blame Henry for things Henry hasn't even done.
",2,0.5004589,-2.9698498
"Russian sources blame the loss to a German He-59 seaplane or to the Bulgarian seaplane Ar-196.
",2,0.49164253,-2.1453993
"Moderates within the party would blame this loss on the party's fundamentalist turn.
",2,0.3645249,-4.347341
"The villagers blame the headmaster, who ordered them to hold out, for their predicament.
",2,1.0052333,-1.9956933
"In one story, two young children vandalize a classroom in Riverdale High School but Moose takes the blame for them.
",1,-2.362598,2.1140258
"According to Perry A. Zirkel, a professor specializing in education law, it is incorrect to blame tenure for the difficulty in hiring bad teachers; regardless of tenure, firing a teacher has substantial costs and involves an extended process of hearings and documentation.
",2,0.3169175,-3.4890218
"On March 22, Judge Frank D. Howard set a preliminary trial date for both Benjamin Ng and Willie Mak for April 20, but they were tried separately because the defense believed Mak would blame Ng.
",2,0.015535625,-1.7668742
"Of all prime-ministerial candidates, only Uno was free of blame from them, and he was given charge over the party, the government, and Japan.
",1,-1.0039365,1.0604484
"There, Vieira tells him that he is to blame for the panic that ensued around the city.
",2,-0.6506426,-2.0953343
"The lawsuit, which also named the Dioceses where Holley was transferred to as defendants, faulted the Diocese of Worcester with the ""most of the blame.""
",1,-1.8382947,2.0661688
"However Jasmine goes on the run, with Debbie left taking the blame.
",1,-1.7358711,2.1746078
"Rob is involved in a fatal car crash and dies and the blame falls on Paul.
",1,-1.8529899,3.0161333
"The only choice for JYP style is the old-fashioned 'I'm different' narrative and the 'Gapbunpong (suddenly mood)' chorus, like Miss A's' ""I Don't Need a Man"", which eventually leads to the same woman with an arrow of blame.""
",1,-0.6634142,2.373396
"The Standing Committee of the General Synod decided that he was without blame in the incident.
",1,-1.5423387,0.5412575
"Donahue accepted no blame for the incident and claims that she also lost a considerable amount of money to Bucchieri and Weil.
",1,-1.5383155,0.67711467
"The Best Shot-on-Video Feature, ""Blame It on Ginger"" won the most awards, with three.
",0,9.7698,1.4126728
"As news of the massacre, Perier received much of the blame.
",1,-1.6794648,1.9427209
"In the top 11 finals, Danny sang The Jacksons' ""Blame It on the Boogie"" while doing some Michael Jackson moves.
",0,10.164173,1.7177355
"The cleaner was first suspected of having stolen the train, but was later cleared of blame, as the train was then considered to have started moving due to some train malfunction and violation of safety procedures.
",1,-1.2655898,0.6969876
"DeMarco tries to blame Holly's treatment on his henchmen, but Kinlaw retorts that the henchmen didn't get a turn until DeMarco was done with her.
",2,0.95919526,-2.8151212
"Clark was accused of incompetence, to which he would retort with consistent blame to the state for not providing the college with facilities, and the farming community for its indifference to the matter.
",1,-0.9875412,1.2530911
"These later writings were perhaps corrupted by Iranian oral folklore, given that blame put on Mazdak for the redistribution of aristocratic properties to the people, is a topic repeated in Iranian oral history.
",1,-1.623185,1.7321463
"Eventually it will turn the player into a bird and display a message saying ""Good birds do not fly away from this game, you have only yourself to blame"".
",2,-0.97279906,-0.6543037
"Victims' groups said the trial had been a whitewash designed to protect their superiors from blame.
",1,-0.74084324,1.285797
"Coco is a singer who now goes by the name Eliot Sumner, and was the founder and lead singer of the group I Blame Coco.
",0,8.840814,2.8433337
"Gonzalez has stated that by ordering him to “look for them”, they could lay blame on him afterwards and cover up the American and Chilean personnel involved in the murder since Chilean and American authorities already knew the whereabouts of Horman's remains: they had lain in a corner of the General Cemetery (Cementerio General) since October 18, 1973, one month after Horman's death.
",1,-2.075322,1.8129604
"In 2016, he tries to start a movement by founding an association, ""Europe is proud of Hungary"", to resist the negative campaign initiated by most liberal newspapers who blame Hungary's rigid policy towards unwanted immigration.
",2,0.700516,-3.4230149
"Night workers are particularly prone to vehicle accidents, and their decreased alertness, performance, and vigilance are likely to blame for a higher rate of industrial accidents and quality control errors on the job, injuries and a general decline in work productivity rate.
",2,-0.3520481,-3.5341065
"He pins the blame on Popeye, who is kicked out of the house by Olive, and Bluto goes to comfort her.
",1,-2.089626,3.33839
"Antiope and Theseus have a son, Hippolytus, but Theseus' jealous and vindictive former wife, Ariadne, murders Antiope and lays the blame on Phthia.
",1,-2.6443846,1.9847083
"Parker and Stone briefly considered parodying Christopher Nolan's ""The Dark Knight"" by having then-President George W. Bush gallantly take the blame for the Smithsonian heist.
",1,-2.4308493,2.2072
"Legionnaires increasingly began to blame Sima's leadership of the Iron Guard for the death of Codreanu, citing his previous actions as commander in 1938 as ""terroristic"" and ""tumultuous"".
",2,0.9797811,-3.9374378
"The cast of FOX musical series ""Glee"" performed this song on the episode ""Blame It on the Alcohol"", with Heather Morris' character, Brittany Pierce, taking the lead.
",0,10.24431,1.2425325
"1942–45 because of World War II & 2020 as the COVID-19 pandemic was to blame.
",2,-0.63136244,0.26849186
"He asks her to forget about the earlier events, admits that he had left the apartment door unlocked, and takes the blame himself.
",1,-1.9692292,2.378226
"The Hudson's pilot was cleared of blame in the subsequent inquires.
",1,-1.0970638,0.7134371
"The first single from the album was ""We're All To Blame"", which peaked at number 10 on the Modern Rock Tracks chart.
",0,8.809636,2.0140624
"When Todd, Josh and Cody accidentally causes an explosion in the science lab while trying to brew their own alcohol, Melissa, who is leaving for America with her family, takes the blame so she cannot be punished for it.
",1,-2.1738973,2.4663801
"Officers use linguistic tactics including putting the blame onto the victim and asking questions with ambiguous phrasing to elicit specific responses from people (Solan, L. & Tiersma, P, 2005).
",1,-1.57537,3.2979653
"Paul Cobb puts the blame with McCay and his staff for not processing Haking's orders quickly enough.
",1,-2.371782,1.9523484
"On August 27, 2016, Post Malone issued an apology for the delay of the release of his album, citing several problems, placing a blame on both himself and his team for failing to come through with the album.
",1,-1.5528541,1.6433152
"I have only myself to blame for the breakdown of my marriage.""
",2,-0.47779822,-2.072338
"He had just been released from prison after serving a five-year sentence for taking the blame for a crime he did not commit on the orders of the don.
",1,-1.6977198,2.7203918
"The dialogue ""Can you blame him though?
",2,-0.049943082,-2.3036637
"There are many theories to explain the collapse of Merovingian power, most of which blame the inability of later Merovingians in war as an important factor.
",2,1.207101,-3.7295506
"IMRO's leadership was quick to blame Aleksandrov's murder on the communists, while they claimed that Mihailov may have actually been responsible for the murder.
",2,0.4485143,-3.7939148
"However, a six-page report by Younis was later leaked by the PCB to the media where he was shown to be pointing much of the blame onto Afridi.
",1,-1.4717722,2.5939343
"It was alleged that MCMC's collections and billing department was primarily to blame for patients being unable to successfully pay off their medical bills.
",2,-0.6960133,-2.731328
"His family and many others reject the official story and blame the police for his death.
",2,1.3150771,-2.9184139
"The battleship and battlecruiser both sustained critical damage from mines, although there was confusion during the battle whether torpedoes were to blame.
",2,-0.53251654,-1.7842873
"They found themselves in a difficulty; although naval opinion seemed to have reached consensus that Markham was significantly to blame, and that it was not acceptable to allow a precedent which any officer causing a disaster by blindly following orders could cite in his defence, it was also felt impossible to severely criticise Markham without blaming Bourke for also failing to take action.
",2,-1.3739355,-1.8215029
"Donna tries to blame Robert for the bullying but no one believes her so she is suspended from school.
",2,1.2259582,-2.8673537
"Early newspaper reports that the film was based on a story by Bruce Bairnsfather were scotched by his less famous brother, Captain T. D. Bairnsfather (died 18 April 1949), an employee of Sydney radio station 2KY, who claimed the credit (or took the blame).
",1,-1.7049934,1.8433734
"Even Lim herself stated of the incident: ""I blame myself for not having done my best to improve my record"".
",2,0.58000183,-4.725196
"The film bears the odd credit """"Special Thanks to Peter Mayhew for giving us the inspiration – that's right, blame the Wookiee!""""
",-1,2.1615145,1.465586
"The Urban Council also placed some of the blame on the construction of Kowloon Park Drive, which cut through a corner of the park at the insistence of the government.
",1,-2.1641722,2.1066492
"Collier supporters blame Congress for altering the legislation proposed by Collier, so that it has not been as successful as possible.
",-1,1.8834996,-3.7277036
"Peru's campaign in the 2007 Copa América saw another futile attempt of the Peruvian squad, eliminated again in the quarter-finals by Argentina; the blame for this was mainly given to the tactics and formations of the coach Julio César Uribe, who did not call the appropriate players to the national team.
",1,-2.313564,0.8499676
"Both boards of enquiry exonerated Vice-Admiral Holland from any blame regarding the loss of ""Hood"".
",1,-1.3813622,1.2440526
"It was released only in the United States and Canada to support the single version of Jones' hit ""No One Is to Blame"".
",0,9.618691,1.719136
"But some of the testimony in the trial implicated the detectives who had arrested McKinney, and suggested that the detectives pulled the spikes, intending to blame the union.
",2,-0.30853835,-1.6321725
"In the end, the battles for both Lwów and Warsaw were lost, and Stalin's actions were held partly to blame.
",2,-0.71422017,-0.9742903
"Many climate scientists state that they are put under enormous pressure to distort or hide any scientific results which suggest that human activity is to blame for global warming.
",2,-0.5373989,-2.1506867
"Aside from the general worries of stock market overvaluation, blame for the collapse has been apportioned to such factors as program trading, portfolio insurance and derivatives, and prior news of worsening economic indicators (i.e.
",1,-1.672249,1.4612302
"Surendra takes the blame for the destroyed relationship, and Archana goes to Bihar to wed Sinha.
",1,-2.3645406,1.9811451
"Indeed, it was hard to blame the prison officer who observed that he thought it was the Minister for Defence paying an informal visit to Mountjoy Prison yesterday because, of course, we all know the Minister for Defence is wont to use helicopters, as somebody observed already, as other Ministers are wont to use State cars.
",2,-0.07203925,-2.8943717
"The blame was put on the high cost of all the alterations necessary to convert the castle.
",1,-2.1325147,2.359097
"The spirit asked the water what it did with the sinners, and the water said: ""I fight against the sinners, for they are the ones to blame for the bloodshed.
",2,-0.24056193,-1.9543254
"He was originally thought to have been involved in the scandal, however Cricket Australia cleared him of blame at the conclusion of their investigation.
",1,-1.1911478,1.2254615
"34 on the list of the 100 Worst Songs Ever by Matthew Wilkening of AOL Radio, who tells the reader not to blame the kids of Kris Kross, but to look behind the curtain for Treach and Dupri, whom he labeled as ""true villains"".
",2,-0.16770674,-2.978938
"""Primitive Christianity did not attack slavery directly; but it acted as though slavery did not exist... To reproach the Church of the first ages with not having condemned slavery in principle, and with having tolerated it in fact, is to blame it for not having let loose a frightful revolution, in which, perhaps, all civilization would have perished with Roman society.""
",2,-0.053758543,-4.3478475
"They intend to blame it on disaffected machine wreckers.
",2,0.2816296,-2.2054656
"Many elements of the revolutionary bloc laid blame on Mohammad Reza Shah, the now deposed monarch of Iran, and SAVAK (""Sazeman-e Ettelaat va Amniyat-e Keshvar""), the country's domestic security and intelligence service.
",1,-1.8706051,1.0394903
"Both Ron and Mike blame themselves for not losing more weight, while Ron pleads for the other contestants to save his son.
",2,0.88882905,-3.0151455
"Nicholas Barber writing for ""The Independent"" concurred saying: ""Much of the blame must rest on Simon Fowler.
",1,-1.4916416,1.2305765
"The next day, Macklin sees Wingfield hiding gold and giving guns to Opechanco's warriors Turnbull kills him and Nataquas is blamed and lashed and given the blame for his death until Smith arrives.
",1,-2.2336395,2.2636063
"In any case, he continued to project the blame for their behaviour onto the Jesuits who he judged as having failed to develop civilized behaviour among the Indians, and equally seriously, had turned them against loyalty to the Portuguese empire and its crown.
",1,-1.9178199,1.6125251
"In October 2009, several articles in Washington area newspapers criticized Snyder, alleging that his managerial style was partly to blame for the Redskins' on-field struggles.
",2,-0.5732767,-3.4068382
"Lion Air co-founder and former CEO Rusdi Kirana, currently the Indonesian ambassador to Malaysia, considered cancelling Lion Air's outstanding 190 Boeing aircraft orders – worth some $22 billion at list prices – over what he viewed as an attempt by Boeing to blame Lion Air for the crash.
",2,0.50999343,-3.4560113
"On 27 June 2008, SXSW Click digital festival announced Temposhark's music video ""Blame"" in the top 3 finalists for the best music video of 2008.
",0,8.439801,2.0341291
"In cases of people with severe problems of shopping addiction, this remorse can lead to very deep feelings of blame and discomfort.
",1,-0.51232517,1.9312128
"Wells alleged that Haller had toasted him ""Here's to a Northern Confederation and a Southern one while Lincoln is President"", blamed the President for casualties at Fredericksburg, and in a later dispute offered that a ""Black Republican"" would be a more suitable quarters-mate for him; Haller denied giving such a toast entirely, and protested that he did not blame the government for ""disasters"" at Fredericksburg but only the change in strategy caused by Lincoln's removal of General George B. McClellan.
",2,0.08433371,-4.517426
"""Rolling with resistance"" is now an outdated concept in MI; in the third edition of Miller & Rollnick's textbook ""Motivational Interviewing: Helping People Change"", the authors indicated that they had completely abandoned the word ""resistance"" as well as the term ""rolling with resistance"", due to the term's tendency to blame the client for problems in the therapy process and obscure different aspects of ambivalence.
",2,0.8365732,-2.852552
"Soon after O'Neill's resignation, Chase stepped down after protests from supporters, who complained that he kept selling the club's best players, refused to reinvest in new players and consequently was to blame for relegation.
",2,-0.8284848,-2.9171083
"There are pious apologies (i. e. in Psalms 31 and 51) that blame God (i. e. in Psalm 22) and others (i. e. Psalm 109), when people are not completely sinless.
",2,-0.5973208,-2.3230848
"Boxu Potts dispelled rumours that the driver abandoned his job, and claimed it was Salandy's decision to drive herself, and her cousin stressed that no one was to blame for the accident.
",2,-1.284356,-3.2603548
"Tywin confirms this and shrewdly observes that this means the Freys will get all the credit, but also all the blame — since the Northerners will never forget nor forgive such a terrible crime.
",1,-1.2161691,2.1373217
"In February 2008, Temposhark and their song ""Blame"" was announced as a finalist in the Pop/Top 40 category of the International Songwriting Competition (ISC).
",0,8.208165,2.0038674
"This 1945 Act was not based on entirely new principles: the Collision Convention of 1910 had already provided that where two ships collide, blame may be apportioned between the two, so that each's contribution to the accident may be calculated to determine the settlement by way of damages.
",1,-1.2891613,2.0560107
"During 1937-1939, the OMS received blame as a center of counter-revolutionary activity, by which time it was ""totally liquidated.""
",1,-0.89763385,2.1807938
"The residents expressed fear and mistrust of the Russian investigators in Aldi (three different teams on February 14 and 16 and on March 19), whose activities appeared to be an attempt to shift the blame on to the Chechen fighters and to intimidate the witnesses.
",1,-2.2506464,2.709974
"Because most pain is not preconceived by the patient, the patients tends to blame their pain on the hospital staff.
",2,0.66588897,-2.9469488
"Lee performs ""Put the Blame on Mame,"" the classic ""noir"" theme from the 1946 film ""Gilda"".
",0,9.274865,3.3330817
"Many residents of Granard, accused the media of being overly intrusive and of wrongly attaching blame to the community for the tragedy.
",1,-0.7527237,1.3192737
"Officials have said that ticketless football fans were to blame for the stampede.
",2,-0.20642622,-3.2561984
"Skinner's analysis rejects both as ""dignity"" – a false notion of inner causality which removes both credit for action and blame for misdeeds, ""the achievements for which a person himself is to be given credit seem to approach zero."".
",1,-1.6464667,0.92180234
"Carl Icahn, a corporate raider who bought TWA in 1988, is said to blame Kingsley his lieutenant during the 1980s for the ensuing TWA bankruptcy a few years later.
",2,-0.14227773,-3.6582549
"Every officer of his ship gave strong evidence in the captain's favour, and the court acquitted him of all blame, laying responsibility squarely on the poor sailing qualities of ""Dédaigneuse"".
",1,-1.485992,1.4747477
"She put all the blame on Poe, suggesting the incident was because Poe was ""intemperate and subject to acts of lunacy.""
",1,-1.9782381,2.1941075
"He placed blame for this failure largely on the excessive reliance on the artificial laboratory tasks that had become endemic to cognitive psychology by the mid-1970s.
",1,-1.3460324,0.6192186
"He also said part of the blame should be placed on an offensive line that lost several starters and had not been able to consistently protect McCoy.
",1,-1.9315934,1.631561
"After a 4–1 defeat to Watford on 23 August, Cellino had made up his mind to sack head coach Hockaday; however he had a change of heart, deciding to blame himself for the club's poor start to the season.
",2,-0.03111717,-3.0189176
