sentence,cluster_label,dim1,dim2
"Ortega opined about the issue calling the FARC ""brothers"" to free political prisoner Ingrid Betancourt and said that Betancourt's death could be used to cast blame on the FARC.
",1,-1.3937647,0.321234
"Slightly tipsy, Pausanias explains in song “Ce vin généreux” that the Vin de Roussillon was to blame – he had ended by drinking twelve glasses.
",2,-0.60304403,-0.57346267
"She has written three books: ""Useful Idiots: How Liberals Got it Wrong in the Cold War and Still Blame America First"" (2003), ""Do-Gooders: How Liberals Hurt Those They Claim to Help (and the Rest of Us)"" (2005), both ""New York Times"" bestsellers, and ""Sex Matters: How Modern Feminism Lost Touch with Science, Love, and Common Sense"" (2018).
",0,9.394602,0.6174443
"Critics called this inquiry the ""Blame Canada Commission"".
",0,7.354178,2.3897436
"The comments were immediately condemned as ""deflecting blame onto cyclists grossly insensitive"" by Roger Geffen, campaigns and policy director of the Cyclists' Touring Club, and as ""dodging responsibility"" and ""an insult to the dead and injured"" by Darren Johnson, the Green Party member of the London Assembly.
",1,-1.2670559,2.497543
"Also, the spirit of Venamun left Karras's body by night to invade the other patients in the ward, making them commit murders for him without Venamun taking the blame.
",1,-1.959126,1.649459
"Following the events—publicly considered to be another scapegoating of a commanding officer of ""Melbourne"" (the first enquiry into the collision between ""Melbourne"" and HMAS ""Voyager"" had laid significant blame on Captain John Robertson, the ship's commanding officer at the time)—Stevenson requested retirement, as he no longer wished to serve under people he no longer respected.
",1,-2.553761,0.40043935
"His testimony introduced the ""Dolchstoßlegende"", which was adopted by nationalist and conservative politicians who sought to blame the socialist founders of the Weimar Republic for losing the war.
",2,1.5426552,-2.742784
"Lamb argues that it is unfair to blame Macmillan for excessively quick African independence (resulting in many former colonies becoming dictatorships), or for the Beeching Plan (which was accepted by Labour in 1964, although Macmillan himself had reservations and had asked civil servants to draw up plans for extra road-building), and argues that had he remained in power Macmillan would never have allowed inflation to get as far out of hand as it did in the 1970s.
",2,1.2951416,-3.6183972
"She then takes the blame for Maude's broken crockery when her mother demands to know what happened.
",1,-2.8985732,1.9885995
"The movie also reveals that Yasaka is bitter about taking the blame for the murder, which Toshio participated in.
",1,-2.1557639,1.3906345
"Their investigations are explicitly not meant to cast guilt or blame upon anyone, which remains the responsibility of the judicial authorities.
",1,-2.0098295,0.12003904
"Haughey distanced himself from Lenihan and sacked him from the Cabinet, as he did not want any share in the blame.
",1,-1.2348417,1.5565151
"Once, when Gao Huan blamed him for embezzlement, he was able to deflect the blame to his superior Lu Zixian (陸子先) -- although he later admitted to his colleagues that he, not Lu, was responsible.
",1,-2.0560925,1.475148
"The season was a disappointment however, and their away record of two wins in twelve games was put to blame for killing their promotion hopes.
",2,0.07899956,-2.8908236
"Though Maritime Command absolved the commanding officer of blame, the British Columbia Supreme Court found the ship to be mostly at fault for the collision in a 1996 decision.
",1,-0.8429267,0.54094714
"Likewise, the chairman of Munich Security Conference Wolfgang Ischinger suggested granting ""visa-free entry to countries of the Schengen area for ordinary Russian citizens, who are not to blame for the Ukrainian crisis and have nothing to do with sanctions"".
",2,-1.3116496,-2.5807729
"Who can blame anyone for wanting to come here to live, to enjoy the rich sunsets over Wareham Channel, to smell the sweet cool breezes which waft in from the bay, and to marvel at the view across Poole Harbour and Brownsea Island.
",2,2.0611506,-2.6196165
"He tells the real Wally that he does not blame him for the Sanctuary disaster and the two fight side by side, jokingly referring to each other by their original aliases of ""Kid Flash"" and ""Speedy"".
",2,0.31118882,-2.4013274
"Some accounts blame newspaper journalism called yellow journalism for whipping up virulent pro-war sentiment to help instigate the Spanish–American War.
",2,1.3278475,-1.245027
"The blame for everything lies on my lack of character, my weakness, impracticality, childishness!""
",1,-1.8982586,1.4409071
"When Whites identified themselves as ""American"", they were more prone to blame the victims of Hurricane Katrina for their predicament.
",2,1.4612828,-2.0414014
"In the aftermath of a devastating nuclear war, Americans have come to blame technology for the disaster, and far from seeking to recover what was destroyed, are actively opposed to any such attempt.
",2,1.0020332,-0.7822432
"Klüver–Bucy syndrome was featured in the ""Radiolab"" episode, ""Blame"".
",0,7.3455076,3.7252545
"I'm not shifting the blame to anybody.
",1,-2.135005,2.1980865
"Asked about the scene and phrase, Spielberg said: ""Blame me.
",0,7.671172,1.615989
"The dance music songs, ""You Make Me Feel..."" and ""Don't Blame the World, It's the DJ's Fault"" preserve the band's carefree atmosphere, but show marked production (and sonic) growth.
",0,9.281643,3.1684554
"A ""just culture"", also sometimes known as ""no blame"" or ""no fault"", seeks to understand the root causes of an incident rather than just who was involved.
",1,-0.950071,1.5023706
"When Terry's imagination starts to get him in trouble, Terry begins to blame Mr. Nobody for imagining the things that he has dreamed up, until he ceases to believe that he has any imagination of his own.
",2,1.8249815,-1.4510887
"So the band would go out, make mistakes, not rehearse enough, lose money, and they'd blame it on me because I was away acting.
",2,1.3385744,-1.9716848
"He left Portadown in a dignified manner (""by mutual consent"", as the statement from the Board put it) and, as was typical of Kingon, in subsequent interviews he refused to blame anyone, instead accepting that he had found managerial responsibilities a lot more difficult and a lot less enjoyable than playing.
",2,0.0628741,-0.74782366
"He was acquitted, but local rumours continued to blame him for the crime.
",2,1.4645406,-3.0211544
"Adamson is quoted as saying he blamed Harris who 'set it up and I have despised him ever since for what he did', but Jackson must share the blame for the vilification of Adamson.
",1,-2.2839937,-0.13186593
"Barrichello said he was not to blame for the accident, ""If he wanted to overtake on the outside, he should have moved a lot further.
",2,-1.5591935,-2.7995942
"Blame for the French defeat has been apportioned between Allemand and Willaumez by historians.
",0,3.1296904,8.479916
"Erzsébet, 39, believes that their age difference is to blame for the failure of the relationship.
",2,-0.17023103,-3.5865242
"Various Panamanian versions blame all Panamanian deaths on U.S. forces, though those who died in the Pan American Airlines building fire can not reasonably be said to have died at the hands of American forces.
",2,1.6967187,-2.1340673
"An attempt may be made to normalise, legitimise, rationalise, deny, or minimise the abusive behaviour, or blame the victim for it.
",2,1.7079269,-2.9935944
"Unlike the other evangelists who blame Jews for Christ's death, the author of Revelation, drawing on old patterns of late Jewish eschatological imagery, assigns responsibility for his death to Romans and says they are abetted by an internal enemy who feign to be God's people while acting as agents of Satan, a theme also present in the literature of the Qumran sectaries.
",2,0.74011266,-2.5734832
"Gray commented post-match that his was to blame, and that the ""better player undoubtedly won"".
",2,-0.18268298,-0.64940995
"Meanwhile, a flood is coming, and Ben Merrill—constructor of Gilgal's levee—knows the structure won't hold against the tide, so he willfully causes it to fail and plans to blame the resulting catastrophe on Jim and Banty Tim.
",2,0.6613143,-1.6667541
"And Ahmed el-Hawary, a founding member of the al-Dustour party and a member of 30 June front, said: ""We cannot blame the Muslim Brotherhood without blaming the army.
",2,0.38898987,-1.8448446
"Rangoon bombs at box office: Sloppy script, misleading promotion, Oscars, exam fever to blame?- Entertainment News, Firstpost
",2,-0.3447606,-0.64202917
"The subsequent court-martial acquitted him of blame, and he spent the last years of the Napoleonic Wars commanding a receiving ship.
",1,-0.97963285,1.7865095
"The following year the magazine repeated its explanation, but declared Witnesses themselves to blame for their eager expectations about 1975 because they had misread the Bible.
",2,-0.23846963,-3.4640458
"The decree declared that during 1936-1938 NKVD did a good job in cleansing the country of numerous ""spies, terrorists, diversionists and wreckers <...> which provided a significant support for foreign intelligencies in the USSR..."" The decree further noted that NKVD was both sloppy and the same time overzealous and put the blame on the ""enemies of the people"" who infiltrated NKVD.
",1,-2.9271963,1.2173853
"The 2002 reissue of ""No More Tears"" featured two additional tracks entitled ""Don't Blame Me"" and ""Party with the Animals"".
",0,9.920287,3.1621268
"The official investigation responsible for determining the cause of the disaster headed by Leonid Smirnov assigned blame to the crew that was killed at the site of the fire by specifically stating the official cause as ""explosion (inflammation) of material soaked in liquid oxygen as a result of unauthorized actions of one of the members of the ground crew"".
",1,-1.5273037,1.3579366
"Minister of Transport and Communication Torild Skogsholm stated that she laid the blame on director of the National Rail Administration, Steinar Killi.
",1,-2.7626505,1.1200347
"Editors blame this on the market… but I say forget the market- we’re talking about a pretty girl.
",2,0.76331174,-1.2553583
"Linda says Stuart made his own decisions and now wants someone to blame because he has nobody in his life.
",2,0.027403131,-2.1462932
"In an 'apology' she put the blame on ""the media"", which then led to an integral audio of what she had said to be put on the internet which showed she was correctly cited.
",1,-2.9577298,2.6961222
"According to Glazer (1980, p. 105), among those who blame Arab news reports for the resulting panic flight are Polk et al.
",2,1.2112694,-2.461283
"Betty is there to confront him and reveals that she has learned the shocking truth and is even more shocked that he has placed the blame on his brother.
",1,-2.0852933,1.86508
"Of the Colts' performance, Mora told the media not to ""blame that game on the defense"".
",2,1.1921448,-2.827136
"Lanier defends Eve and women in general by arguing that Eve is wrongly blamed for Original Sin, while no blame attached to Adam.
",1,-1.3037592,1.4034778
"The defense stated, however, that Deutsche Bahn should bear the main share of the blame for ignoring known safety issues on the line (a near collision of two passenger trains had occurred a few kilometers away in 2006 leading to a plan for an immediate installation of automatic train stops, but this was delayed until after the Hordorf collision).
",1,-1.9158509,1.585152
"Although the Interpol warrant for him had by then been lifted, Hayes explained that while he wanted to return, he hesitated to do so, out of concern that many Turks might blame him for the negative publicity the movie had generated.
",2,1.8289123,-3.348134
"The court decided no blame could be attached to ""Pasley"", concluding ""that the process of reasoning which led the captain of HM Submarine ""G9"" to mistake HMS ""Pasley"" for a U-boat is, and must remain, unexplained"".
",1,-1.742442,1.1907723
"Because obviously, women are to blame for their sexist objectification.""
",2,-0.45171466,-3.151048
"Senate President Andy Gardiner is just as much to blame.
",2,-1.243265,-1.528472
"Tilak took up this issue by publishing inflammatory articles in his paper Kesari (Kesari was written in Marathi, and ""Maratha"" was written in English), quoting the Hindu scripture, the Bhagavad Gita, to say that no blame could be attached to anyone who killed an oppressor without any thought of reward.
",1,-1.8579854,1.0548221
"Marshall supposed that Ata-Ullah had then confronted Desio demanding an explanation for Mahdi's mistreatment and that then Desio had questioned Compagnoni, his favourite climber, about the frostbite – Compagnoni laid the blame on Bonatti by playing along with the idea that Bonatti was trying for the summit and later went off down ahead of Mahdi.
",1,-2.9803514,1.277038
"However, he took the blame of a goal scored by Marcelo de Souza after being beaten by the opponent and failing to chase him back.
",1,-1.5599892,2.2826693
"From his deathbed Henry absolved Montgomery of any blame, but, finding himself disgraced, Montgomery retreated to his estates in Normandy.
",1,-0.5752365,1.1561741
"However, the Soviet Union did not blame the United States for the attack.
",2,0.84288716,-2.5593958
"In September 2016, Bernardi proposed the Turnbull government take up a modified version of the immigration policy of One Nation, aiming to mollify people fearing Muslim immigration as he felt soft immigration policies were to blame for a fall in government support.
",2,-1.062987,-4.258918
"Most of the students put the blame for Stacy's murder on one of their classmates, Monica Whitley (Kathryn Morris), a goth girl who was always mocked and tormented by Stacy for her appearance; she and Stacy always hated each other and she threatened to kill her.
",1,-2.8543637,0.88147146
"When released, critic Bosley Crowther lambasted the film, especially the screenplay, writing, ""Things must be tough in the picture business when such a respectable cast as is in ""The Secret Fury"", now on the Paramount's screen, descends to such cheap and lurid twaddle as this R. K. O. melodrama is, Claudette Colbert, Robert Ryan, Paul Kelly, Philip Ober, Jane Cowl and even José Ferrer in a 'bit' role are the major performers who expend more physical energy than intelligence on this wantonly unintelligible tale... To lay any blame on the performers for the nonsense that takes place on the screen would be an obvious injustice.""
",1,-2.5391853,-0.26382568
"The jury also affirmed overwhelming evidence that identified someone else, not James Earl Ray, as the shooter, and that Mr. Ray was set up to take the blame.""
",1,-1.6456208,1.5247935
"Most of the Mexican public argues that crimes and violence are to blame for narcocorridos.
",2,-0.4757623,-2.4407492
"They blame Celia for letting Ray see the Communist Party flyer.
",2,2.6801374,-2.5866237
"What you can blame them for is ', a sequel every bit as clumsy, ham-handed, outlandish and laughable as the original was sleek, tough and efficient.""
",2,1.64503,-2.2713716
"The rioters are particularly angry at Caius Martius (Ralph Fiennes), a brilliant Roman general whom they blame for the city's problems.
",2,0.90612787,-2.207705
"According to Liddell, Jones solely placed the blame on Liddell rather than hold Mrs. Nichols as the responsible party for his injury.
",1,-2.135707,1.6213404
"Fremantle deny that they did not try to win the game and blame injuries and an inexperienced team for their poor performance.
",2,1.6435845,-2.219871
"Eric had a motive as Elizabeth was on to him about cheque fraud and trying to blame Michael for it.
",2,1.4446359,-2.195447
"He once helped Cao Cao shoulder the blame when Cao committed a serious offence.
",1,-1.6037344,2.761939
"Japanese atrocities including the Rape of Nanking, the Bataan Death March, and the kamikaze pilots were partly to blame for these attitudes, but other aspects such as the Attack on Pearl Harbor were also at work.
",2,0.067622095,-4.2885017
"William Ewart Gladstone said to his daughter Mary, ""should you ever hear anyone blame Millais or his wife, or Mr. Ruskin [for the breakdown of the marriage, remember that there is no fault; there was misfortune, even tragedy.
",2,1.4017184,-2.6620593
"Later came other appearances, in programmes such as ""Controcampo"", ""Zitti e Mosca"", ""La Mosca al Naso"" and he had a section on ""Studio Sport"" called ""Ce l'ho con..."" (I blame...) through which he expressed, as can be understood by the eloquent title, his disappointment towards a particular character of the sports landscape.
",2,0.10868789,0.19972463
"Many activists blame the rising incidence of sexual harassment against women on the influence of ""Western culture"".
",2,2.6948926,-2.9496002
"Cavendish was gracious in defeat, taking the blame himself by saying he ""didn't commit enough.""
",1,-1.8540103,2.0302582
"While Opposition Leader Bob Carr made the link between pressure on roads and withdrawal of the country services, a coroner's report in April 1990 pinned the blame on the Federal Government and its ""piecemeal"" approach to repairs of the Pacific Highway.
",1,-2.818683,0.9740149
"Blame for inadequate disaster response was partially attributed to state and local authorities, but public outcry in the disaster's early hours was largely directed at the Bush administration, mainly the Federal Emergency Management Agency (FEMA) and the Department of Homeland Security alleging weak crisis management and coordination.
",-1,2.6418746,10.597802
"Kadyrov termed former Ukrainian President Viktor Yanukovych's ouster as a ""coup d'etat"" and a deliberate attempt to exert pressure on Russia through Ukraine, however at the same time placed the blame on Yanukovych for the situation in Ukraine.
",1,-2.159161,1.9130706
"Porter's pardon message placed the blame for the riot on the abolitionist speaker.
",1,-2.849315,1.1538389
"After the resignation of incumbent Andrea Fischer, who took the blame for the government's chaotic response to the discovery of 10 cases of bovine spongiform encephalopathy, Schmidt became Federal Minister for Health under Chancellor Gerhard Schröder in 2001.
",1,-2.572851,1.56654
"Almost everybody has been ill and they all blame it on Mitchell and Cameron.
",2,1.2184964,-2.294128
"Many students die due to this clash, and the college is closed for two months as the law minister and principal blame one another.
",2,1.1449853,-0.39016563
"Castro therein presents not only the prescription of analogy and the principle of restrictive interpretation in criminal law, but, with his own radicalness, he acuminates the notion of penalty (poena) completely to the penalty for guilt, and, accordingly and for the first time in history, fits penalty with moral blame.
",1,-1.5008098,1.8946356
"Wilson seems to not acknowledge that it was him in the costume, and takes Melanie's concern as blame and gets very angry.
",1,-1.2443805,1.674292
"She pins the blame of Aurora's disappearance and Cristina's death on him.
",1,-1.6471093,2.47041
"Human pressures are to blame for the cheetah population crash, including prey loss due to overhunting by people, retaliatory killing from farmers, habitat loss and the illegal wildlife trade.
",2,0.03243826,-2.7091095
"After three questions, the player with the higher score had a friend come out and explain why the opponent was to blame for the break-up.
",2,-0.5167016,-2.189111
"Sanam Jahan murders Banu, and the blame has been put on Rayaan that he has done this murder.
",1,-2.292389,1.5577583
"While the appropriate and legal way to respond to primary victimization is to report the event, authorities often deny, do not believe, or blame the victim (Campbell & Raja, 1999; Campbell & Raja, 2005).
",2,0.27023715,-1.843629
"Anjou laid the blame for the fall of Eindhoven on the States, while the States were fed up with his ambitions, and the inefficiency and slowness of his troops.
",1,-2.5574334,0.8770873
"""As with high tax countries like Germany or France, if you pressure people to pay high levels of tax, why blame Cyprus for creating a low-tax jurisdiction?
",2,1.6357379,-2.371546
"On July 7, BC Ferries concluded that a missing cotter pin was to blame.
",2,-0.45700398,-1.8987402
"Barnabas emerged alone some time later, having killed the sheriff, and Julia admitted that she was to blame.
",2,-0.4744471,-1.9301797
"Although Playfair maintained the haunting was genuine and wrote in his later book ""This House Is Haunted: The True Story of a Poltergeist"" (1980) that an ""entity"" was to blame for the Enfield disturbances, he often doubted the children's veracity and wondered if they were playing tricks and exaggerating.
",2,-0.52732337,-3.2040706
"Just then, the nagging woman came in, and the kittens are quick to blame the situation on him.
",2,1.4046972,-0.9115866
"The damaged Yoake Dam was investigated but the inadequate water control of the upper river was found to blame.
",2,-0.7673574,-2.1285903
"Suetonius goes on to accuse Claudius of cruelty and stupidity, assigning some of the blame to his wives and freedmen.
",1,-1.7243145,0.9235689
"While speaking to press afterward, Gregg acknowledged responsibility for his decision and accepted the blame for accepting and then rejecting the Commerce Secretary nomination.
",1,-2.2794082,1.8990252
"Opposition Senator Francis Pangilinan, however, pointed out that if the United States was to blame, then all countries in ASEAN should have been experiencing the same, and only the Philippines had a very high inflation rate in the entire region at that time.
",2,-0.44051558,-1.8245515
"While ""Pesky held the ball"" became a catchphrase in Boston, a soft throw from Culberson (playing in place of the strong-armed DiMaggio) may have been more to blame.
",2,-0.43094054,-2.4669893
"Paul Farmer describes this phenomenon as pathologizing the society and blaming the locals so that the economic interests of outsiders are not subject to questioning or blame.
",1,-1.0848558,-0.060686134
"A common thread among Pakistani historians is to blame Akbar's Rajput policy.
",2,0.8842052,-0.64497316
"Younis expressed great anger on the report being leaked as it led to fans criticising him for shifting the blame onto Afridi instead of accepting equal responsibility.
",1,-1.7901225,2.6197686
"Poprishchin sees a menace in everyone and always finds a way to blame others for his personal frustrations, and consequently treats them with the aggression he believes they deserve.
",2,1.3077272,-1.9109743
"In this view, guilt is considered to be a learned behavior consisting essentially of self-directed blame or contempt, with shame occurring consequent to such behaviors making up a part of the overall experience of guilt.
",1,-0.25909728,1.6767378
"In response, OPT described the response of parts of the development lobby to the initiative as ""frankly disgraceful"", adding: ""The world badly needs a grown-up, rational discussion of the population issue ... without blame, abuse and hysteria.""
",1,-0.45278963,1.8944271
"There was some scepticism of Contador's claim that contaminated meat was to blame.
",2,-0.51034826,-1.8125086
"The company laid the blame for the inappropriate accounting on ex-president Tsuyoshi Kikukawa, auditor Hideo Yamada, and executive VP Hisashi Mori.
",1,-2.5588696,0.8587605
"The blame for the crash was never fully determined, as officials realized that an orange cone (or perhaps an orange flag), which was to identify Palmer's braking point, was accidentally removed.
",1,-2.404213,1.4792162
"Tambay and Jaussaud eventually retired after just 158 laps with engine troubles to blame, while the sister #16 Arnoux/Pironi car was immediately out, with no laps registered to its name, after a turbo oil seal caused a fire.
",2,-0.6659605,-0.63452697
"Richie says Jack is covering for someone, and even takes the blame, but he becomes scared Victoria will call the police, so he leaves.
",1,-1.8283919,2.4200122
"He is generally unpopular among Democratic Progressive Party (DPP) voters and supporters who blame him for the thousands killed during the February 28 Incident and criticise his subsequent dictatorial rule.
",2,1.3346984,-2.6628907
"As DNO and then as Controller, Jellicoe must accept much of the blame for the unsatisfactory layout of the earlier ships.""
",1,-2.1555364,1.5891902
"Only a single contemporary author and an author of the generation following the two brothers placed the blame for their financial hardships on Andreas.
",1,-2.318458,0.730141
"Upon receiving the report, Thai officials deflected the blame onto the Burmese government, whose own National Human Rights Commission has not offered the DDA an audience.
",1,-1.3601847,2.6130178
"Mahathir Mohamad and other critics of speculation are viewed as trying to deflect the blame from themselves for having caused the unsustainable economic conditions.
",1,-1.3630341,0.9209455
"I never blame God for all the shit, for the baby Rwandan slaughtered in a casual genocide, the ever-present wars, drudgery and misery that fills most of our lives.""
",2,1.4607614,-3.0545378
"Originally, Arnold intended to use the song ""Only Myself to Blame"", written by David Arnold & Don Black and sung by Scott Walker and inspired by the failed romance between Bond and Elektra King, who turns out to be a villain.
",0,9.120072,2.2078164
"The well-known reluctance of Afrikaner leaders to submit to one another's leadership, which later hindered sustained success in the Anglo-Boer Wars, was largely to blame.
",2,0.30379388,-2.1245031
"Whilst Billie Piper, who played Rose, felt that the character of Rose was ""ruthless"" in abandoning elements from her home life, Clarke commented that he felt anybody would do the same, stating ""who can blame her really?""
",2,1.2008601,-3.111874
"Murray's attorney told the court that Murray is not to blame for Jackson's death, that Jackson gave himself a dose of drugs that
",2,-0.8675128,-4.15522
"He had just been released from prison after serving a five-year sentence for taking the blame for a crime he did not commit on the orders of the don.
",1,-1.9319544,2.5452287
"""Duntroon""s captain was later exonerated of any blame for the accident.
",1,-2.4270194,0.45820785
